name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas
Manzanilla con anís en bolsitas Pompadour 25 ud.,"2,35 €",0.1 g,1 Kcal,3 KJ,0.01 g,0.1 g,0.1 g
Algodón de azúcar 3 sabores ácidos Fluffy Stuff Charms 60 g.,"1,99 €",0.5 g,399.0 Kcal,1698.0 KJ,0.0 g,100.0 g,0.5 g
Queso azul Roquefort DOP Entremont 100 g,"2,95 €",32 g,368 Kcal,1524 KJ,3.2 g,1 g,19 g
Crema de galletas crunchy Lotus Biscoff 380 g.,"3,79 €",35.7 g,571.0 Kcal,2383.0 KJ,0.6 g,58.8 g,3.2 g
Jamón cocido extra loncheado Ricura El Pozo sin gluten 300 g,"2,39 €",3 g,104 Kcal,439 KJ,2.5 g,1.2 g,18 g
"Cerveza Free Damm Lager 0,0 sin alcohol sin gluten lata 33 cl.","0,74 €",0.0 g,20 Kcal,85 KJ,0.01 g,4.7 g,0.2 g
Bolsita de manzana y plátano desde 4 meses sin azúcar añadido Mi Menú 120 g.,"0,99 €",0 g,70 Kcal,296 KJ,0 g,16 g,0.6 g
Grageas de chocolate con leche Salted Caramel m&m's 176 g.,"4,05 €",19.0 g,475.0 Kcal,1993.0 KJ,0.58 g,71.0 g,4.4 g
Caldo de pollo Calnort sin gluten 12 pastillas,"0,50 €",6.3 g,201 Kcal,843 KJ,54.5 g,29 g,6.9 g
Café soluble con leche y azúcar 3 en 1 Nestlé pack de 10 sobres de 16 g.,"3,15 €",11.9 g,408.0 Kcal,1716.0 KJ,0.83 g,70.4 g,1.8 g
Caldo casero de carne Gallina Blanca sin gluten 1 l.,"2,19 €",0.1 g,3 Kcal,13 KJ,0.75 g,0.1 g,0.3 g
Cacao soluble natural 100% Valor sin gluten 250 g.,"4,69 €",11 g,339 Kcal,1412 KJ,0.05 g,17 g,25 g
Cereales con chocolate Stylesse Carrefour 500 g.,"3,15 €",5.5 g,399.0 Kcal,1688.0 KJ,0.8 g,74.8 g,11.3 g
Helado de lima-limón Calippo sin gluten 5 ud.,"5,49 €",0.5 g,87 Kcal,363 KJ,0.01 g,21 g,0.5 g
Queso fresco batido desnatado Classic' Carrefour 500 g.,"0,99 €",0 g,46 Kcal,196 KJ,0.1 g,4 g,7.5 g
Pata de pulpo cocida congelada Carrefour El Mercado 250 g,"10,50 €",0.7 g,85 Kcal,361 KJ,0.76 g,1 g,19 g
Molinillo Ibérico Toque sin gluten 28 g.,"2,89 €",1 g,157 Kcal,653 KJ,33.72 g,21 g,7 g
Tomate frito Carrefour pack de 3 briks de 390 g.,"1,37 €",3.5 g,73 Kcal,304 KJ,0.9 g,8.9 g,1.2 g
Agua de coco 100% natural ecológico Carrefour Bio brik 1 l.,"2,65 €",,15 Kcal,62 KJ,0.10 g,2.9 g,0.50 g
Tarta de Chocolate Blanco 480 g,"9,90 €",26.05 g,381.31 Kcal,1587.81 KJ,0.42 g,32.4 g,4.1 g
Sopa de ternera con estrellitas Gallina Blanca pack de 3 sobres de 74 g.,"2,65 €",0.2 g,25 Kcal,106 KJ,0.7 g,4.9 g,0.9 g
Salsa de tomate De la Abuela Carrefour tarro 300 g.,"1,65 €",15 g,195 Kcal,808 KJ,1.3 g,12 g,1.9 g
Petit queso fresco y frutas variadas desde 6 meses Hero Baby sin gluten pack de 2 unidades de 80 g.,"3,09 €",3 g,90 Kcal,379 KJ,0.1 g,11.5 g,3.8 g
Patatas fritas sabor pollo al limón Carrefour Classic' 130 g.,"1,37 €",35 g,534 Kcal,2225 KJ,1.1 g,46 g,6.5 g
Salsa Korean BBQ Heinz 220 ml.,"1,99 €",0.9 g,177 Kcal,753 KJ,0.9 g,40 g,1.2 g
Pepinillos agridulces Classic Carrefour 370 g.,"1,70 €",0.5 g,34 Kcal,146 KJ,0.69 g,6.4 g,1.4 g
Caramelos sin azúcar Solano sin gluten 99 g.,"3,79 €",12.0 g,315.0 Kcal,1305.0 KJ,0.76 g,85.6 g,0.2 g
