vendor,name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas,url
Carrefour,Masa de hojaldre rectangular Carrefour Classic' 230 g.,1.88,23 g,396 Kcal,1650 KJ,0.96 g,37 g,5.9 g,https://www.carrefour.es/supermercado/masa-de-hojaldre-rectangular-carrefour-classic-230-g/R-VC4AECOMM-509327/p
Carrefour,Chocolate negro 74% cacao ecológico Carrefour Bio 100 g.,1.99,42.0 g,567.0 Kcal,2353.0 KJ,0.03 g,32.0 g,9.6 g,https://www.carrefour.es/supermercado/chocolate-negro-74-cacao-ecologico-carrefour-bio-100-g/R-825914902/p
Carrefour,Bífidus desnatado cremoso sabor frutos silvestres Danone Activia pack de 8 unidades de 120 g.,3.99,0.1 g,56.0 Kcal,238.0 KJ,0.09 g,7.9 g,5.1 g,https://www.carrefour.es/supermercado/bifidus-desnatado-cremoso-sabor-frutos-silvestres-danone-activia-pack-de-8-unidades-de-120-g/R-prod800228/p
Carrefour,Prime tropical punch botella 500 ml.,2.99,0 g,4.0 Kcal,17.0 KJ,0.02 g,1.0 g,0 g,https://www.carrefour.es/supermercado/prime-tropical-punch-botella-500-ml/R-VC4AECOMM-194920/p
Carrefour,Poleo menta en bolsitas Pompadour 25 ud.,2.35,0 g,1 Kcal,3 KJ,0 g,0 g,0 g,https://www.carrefour.es/supermercado/poleo-menta-en-bolsitas-pompadour-25-ud/R-522713644/p
Carrefour,Queso Petit Saint-Pauli Carrefour 340 g,4.79,26.0 g,314 Kcal,1302 KJ,2.00 g,0 g,20 g,https://www.carrefour.es/supermercado/queso-petit-saint-pauli-carrefour-340-g/R-VC4AECOMM-685716/p
Carrefour,Lentejas con su sofrito ecológicas Litoral sin gluten 420 g.,2.99,2.1 g,82 Kcal,344 KJ,0.84 g,10.6 g,4.5 g,https://www.carrefour.es/supermercado/lentejas-con-su-sofrito-ecologicas-litoral-sin-gluten-420-g/R-VC4AECOMM-477320/p
Carrefour,Mejillones chilenos picantes 12/18 Dani 69 g.,1.60,9 g,170 Kcal,700 KJ,1.2 g,1 g,21 g,https://www.carrefour.es/supermercado/mejillones-chilenos-picantes-12-18-dani-69-g/R-VC4AECOMM-018268/p
Carrefour,Arroz para guarniciones Sos 500 g.,1.53,0.70 g,344 Kcal,1459 KJ,0 g,76 g,8.60 g,https://www.carrefour.es/supermercado/arroz-para-guarniciones-sos-500-g/R-678901859/p
Carrefour,Cerveza Budweiser Lager pack de 10 latas de 33 cl.,9.09,0 g,39 Kcal,162 KJ,0 g,2.9 g,0.4 g,https://www.carrefour.es/supermercado/cerveza-budweiser-lager-pack-de-10-latas-de-33-cl/R-prod550061/p
Carrefour,Panecillo 51% integral Carrefour 4 ud,1.30,1.1 g,248 Kcal,1038 KJ,1.6 g,50 g,8.4 g,https://www.carrefour.es/supermercado/panecillo-51-integral-carrefour-4-ud/R-837617109/p
Carrefour,Zumo de 10 frutas y vitaminas sin azúcar añadido Juver- Disfruta brik 2 l.,3.55,0.1 g,24 Kcal,101 KJ,0.025 g,5.5 g,0.2 g,https://www.carrefour.es/supermercado/zumo-de-10-frutas-y-vitaminas-sin-azucar-anadido-juver-disfruta-brik-2-l/R-522714071/p
Carrefour,Yogur griego natural Carrefour Extra 1 kg.,2.45,10 g,118 Kcal,489 KJ,0.13 g,3.6 g,3.4 g,https://www.carrefour.es/supermercado/yogur-griego-natural-carrefour-extra-1-kg/R-843506598/p
Carrefour,Muesli con frutos rojos ecológico El Granero sin gluten sin aceite de palma 375 g.,4.25,5.70 g,363 Kcal,1533 KJ,0.09 g,61.60 g,11.70 g,https://www.carrefour.es/supermercado/muesli-con-frutos-rojos-ecologico-el-granero-sin-gluten-sin-aceite-de-palma-375-g/R-VC4AECOMM-176955/p
Carrefour,Mejillones en escabeche con aceite de oliva Cuca sin gluten y sin lactosa 69 g.,10.49,8.5 g,163 Kcal,683 KJ,1.3 g,2 g,19.5 g,https://www.carrefour.es/supermercado/mejillones-en-escabeche-con-aceite-de-oliva-cuca-sin-gluten-y-sin-lactosa-69-g/R-fprod1350160/p
Carrefour,Cono speculoss Extra Carrefour 6 ud.,3.95,17 g,318 Kcal,1328 KJ,0.02 g,37 g,3.9 g,https://www.carrefour.es/supermercado/cono-speculoss-extra-carrefour-6-ud/R-VC4AECOMM-157814/p
Carrefour,Bífidus con fresa Danone Activia pack de 4 unidades de 120 g.,2.99,3.3 g,93 Kcal,393 KJ,0.14 g,11.6 g,3.5 g,https://www.carrefour.es/supermercado/bifidus-con-fresa-danone-activia-pack-de-4-unidades-de-120-g/R-521029570/p
Carrefour,Néctar de mango y naranja Carrefour brik 1 l.,1.21,0 g,30 Kcal,126 KJ,,7.2 g,,https://www.carrefour.es/supermercado/nectar-de-mango-y-naranja-carrefour-brik-1-l/R-780686962/p
Carrefour,"Paleta de Cebo de Campo Ibérica 50% Raza Ibérica IberSierra pieza de 4,5 kg aprox",79.00,27.0 g,391.0 Kcal,1626.0 KJ,3.3 g,0.9 g,36.0 g,https://www.carrefour.es/supermercado/paleta-de-cebo-de-campo-iberica-50-raza-iberica-ibersierra-pieza-de-45-kg-aprox/R-VC4AECOMM-032288/p
Carrefour,"Crema de champiñones Gallina Blanca 58,5 g.",1.63,1.5 g,40 Kcal,169 KJ,0.68 g,6 g,0.6 g,https://www.carrefour.es/supermercado/crema-de-champinones-gallina-blanca-585-g/R-530014273/p
Carrefour,Ginebra Bombay 1 l.,21.60,0.0 g,220.0 Kcal,920.0 KJ,0.0 g,0.0 g,0.0 g,https://www.carrefour.es/supermercado/ginebra-bombay-1-l/R-fprod1270057/p
